	acousticness	analysis_url	danceability	duration_ms	energy	track_id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	playlist_name	playlist_id	user_id
0	0.198	https://api.spotify.com/v1/audio-analysis/42tBlHWL3VfDkUM2iWcc5p	0.687	261000	0.672	42tBlHWL3VfDkUM2iWcc5p	0.0	0	0.175	-5.975	0	0.0573	80.035	4	https://api.spotify.com/v1/tracks/42tBlHWL3VfDkUM2iWcc5p	audio_features	spotify:track:42tBlHWL3VfDkUM2iWcc5p	0.792	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
1	0.149	https://api.spotify.com/v1/audio-analysis/4sEnZad9gvLSLkyt8DW11O	0.773	227648	0.625	4sEnZad9gvLSLkyt8DW11O	0.0	1	0.0619	-7.029	0	0.176	82.004	4	https://api.spotify.com/v1/tracks/4sEnZad9gvLSLkyt8DW11O	audio_features	spotify:track:4sEnZad9gvLSLkyt8DW11O	0.676	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
2	0.618	https://api.spotify.com/v1/audio-analysis/1ZuQVisBNDRm51QIN9MajR	0.92	240000	0.569	1ZuQVisBNDRm51QIN9MajR	7.28e-06	7	0.206	-6.628	0	0.374	139.953	4	https://api.spotify.com/v1/tracks/1ZuQVisBNDRm51QIN9MajR	audio_features	spotify:track:1ZuQVisBNDRm51QIN9MajR	0.641	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
3	0.797	https://api.spotify.com/v1/audio-analysis/4x3gJSZ2CeyGW9I8X7DtAs	0.432	80000	0.554	4x3gJSZ2CeyGW9I8X7DtAs	0.0	7	0.0804	-8.046	0	0.114	79.344	4	https://api.spotify.com/v1/tracks/4x3gJSZ2CeyGW9I8X7DtAs	audio_features	spotify:track:4x3gJSZ2CeyGW9I8X7DtAs	0.5	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
4	0.0224	https://api.spotify.com/v1/audio-analysis/6MTA4AwgmjVASTXpBEwvn8	0.692	251964	0.655	6MTA4AwgmjVASTXpBEwvn8	0.0519	9	0.11	-5.758	1	0.0482	141.015	4	https://api.spotify.com/v1/tracks/6MTA4AwgmjVASTXpBEwvn8	audio_features	spotify:track:6MTA4AwgmjVASTXpBEwvn8	0.4	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
5	0.936	https://api.spotify.com/v1/audio-analysis/5Kkmnf0Xi1pv6CaT3e7czy	0.434	39520	0.312	5Kkmnf0Xi1pv6CaT3e7czy	0.00169	5	0.553	-20.861	1	0.0567	145.864	4	https://api.spotify.com/v1/tracks/5Kkmnf0Xi1pv6CaT3e7czy	audio_features	spotify:track:5Kkmnf0Xi1pv6CaT3e7czy	0.862	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
6	0.0644	https://api.spotify.com/v1/audio-analysis/1CKhx6sSkUxzomXnYZqSMh	0.632	192126	0.625	1CKhx6sSkUxzomXnYZqSMh	0.0	2	0.689	-5.781	1	0.291	139.981	4	https://api.spotify.com/v1/tracks/1CKhx6sSkUxzomXnYZqSMh	audio_features	spotify:track:1CKhx6sSkUxzomXnYZqSMh	0.535	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
7	0.723	https://api.spotify.com/v1/audio-analysis/2WVsyRWVM6xyKkZadKu32E	0.606	80000	0.368	2WVsyRWVM6xyKkZadKu32E	0.0	0	0.137	-9.236	0	0.0793	101.549	4	https://api.spotify.com/v1/tracks/2WVsyRWVM6xyKkZadKu32E	audio_features	spotify:track:2WVsyRWVM6xyKkZadKu32E	0.349	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
8	0.353	https://api.spotify.com/v1/audio-analysis/6bMLXWNukxfiUqH1D0ud1Z	0.464	204382	0.71	6bMLXWNukxfiUqH1D0ud1Z	0.0	7	0.309	-5.193	1	0.26	150.068	4	https://api.spotify.com/v1/tracks/6bMLXWNukxfiUqH1D0ud1Z	audio_features	spotify:track:6bMLXWNukxfiUqH1D0ud1Z	0.585	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
9	0.316	https://api.spotify.com/v1/audio-analysis/7ujucw8kFBPIy9mz7DlmAq	0.638	248781	0.662	7ujucw8kFBPIy9mz7DlmAq	0.0	1	0.258	-5.497	1	0.404	82.327	4	https://api.spotify.com/v1/tracks/7ujucw8kFBPIy9mz7DlmAq	audio_features	spotify:track:7ujucw8kFBPIy9mz7DlmAq	0.675	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
10	0.894	https://api.spotify.com/v1/audio-analysis/3zAjkGy22FCXrCqSosQYkk	0.414	29989	0.419	3zAjkGy22FCXrCqSosQYkk	4.88e-05	9	0.514	-21.062	0	0.037	84.007	5	https://api.spotify.com/v1/tracks/3zAjkGy22FCXrCqSosQYkk	audio_features	spotify:track:3zAjkGy22FCXrCqSosQYkk	0.96	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
11	0.319	https://api.spotify.com/v1/audio-analysis/7sJ7zlySCbRw6OjlLhVQMt	0.656	181441	0.698	7sJ7zlySCbRw6OjlLhVQMt	2.2e-05	1	0.252	-7.322	1	0.0967	90.008	4	https://api.spotify.com/v1/tracks/7sJ7zlySCbRw6OjlLhVQMt	audio_features	spotify:track:7sJ7zlySCbRw6OjlLhVQMt	0.165	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
12	0.543	https://api.spotify.com/v1/audio-analysis/2DgMxFMUQRPthW4ROhjen1	0.718	274274	0.628	2DgMxFMUQRPthW4ROhjen1	0.0	10	0.116	-6.007	0	0.223	92.107	4	https://api.spotify.com/v1/tracks/2DgMxFMUQRPthW4ROhjen1	audio_features	spotify:track:2DgMxFMUQRPthW4ROhjen1	0.722	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
13	0.314	https://api.spotify.com/v1/audio-analysis/4zbb4mISfck5isCpFsjsr3	0.652	202228	0.511	4zbb4mISfck5isCpFsjsr3	0.00267	5	0.163	-8.055	1	0.0916	95.045	4	https://api.spotify.com/v1/tracks/4zbb4mISfck5isCpFsjsr3	audio_features	spotify:track:4zbb4mISfck5isCpFsjsr3	0.296	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
14	0.866	https://api.spotify.com/v1/audio-analysis/6C1wn08cac9wcvJvGtuHi1	0.504	170693	0.659	6C1wn08cac9wcvJvGtuHi1	0.0	4	0.273	-5.111	1	0.0336	79.996	4	https://api.spotify.com/v1/tracks/6C1wn08cac9wcvJvGtuHi1	audio_features	spotify:track:6C1wn08cac9wcvJvGtuHi1	0.431	BROCKHAMPTON – SATURATION II	4kG6NbZEDC8m3EMRBWzetV	breakurjea
0	0.00124	https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1	0.454	202067	0.708	5Q0Nhxo0l2bP3pNjpGJwV1	0.000181	10	0.0679	-4.526	0	0.0675	192.18	4	https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1	audio_features	spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1	0.483	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
1	0.0392	https://api.spotify.com/v1/audio-analysis/53Uxhu7xAUjKcxcomTuMbw	0.381	215625	0.975	53Uxhu7xAUjKcxcomTuMbw	7.39e-05	7	0.158	-4.114	0	0.202	178.933	3	https://api.spotify.com/v1/tracks/53Uxhu7xAUjKcxcomTuMbw	audio_features	spotify:track:53Uxhu7xAUjKcxcomTuMbw	0.671	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
2	0.00737	https://api.spotify.com/v1/audio-analysis/07bJxLHORlyJvG4G2QkaXR	0.685	242719	0.861	07bJxLHORlyJvG4G2QkaXR	0.0	0	0.0741	-4.747	1	0.0385	89.985	4	https://api.spotify.com/v1/tracks/07bJxLHORlyJvG4G2QkaXR	audio_features	spotify:track:07bJxLHORlyJvG4G2QkaXR	0.798	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
3	0.0138	https://api.spotify.com/v1/audio-analysis/3NHfaIO3ELy1nm9tpMwzp9	0.668	269573	0.735	3NHfaIO3ELy1nm9tpMwzp9	0.0	7	0.879	-7.747	1	0.0615	95.109	4	https://api.spotify.com/v1/tracks/3NHfaIO3ELy1nm9tpMwzp9	audio_features	spotify:track:3NHfaIO3ELy1nm9tpMwzp9	0.441	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
4	0.0693	https://api.spotify.com/v1/audio-analysis/2cEHRTnGiErpN2VWxm1dgX	0.829	209128	0.673	2cEHRTnGiErpN2VWxm1dgX	0.193	8	0.173	-7.18	1	0.0665	124.023	4	https://api.spotify.com/v1/tracks/2cEHRTnGiErpN2VWxm1dgX	audio_features	spotify:track:2cEHRTnGiErpN2VWxm1dgX	0.406	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
5	0.0479	https://api.spotify.com/v1/audio-analysis/5dWfl2PBpKHpBVdz95wxK1	0.495	202013	0.819	5dWfl2PBpKHpBVdz95wxK1	0.000215	5	0.177	-5.656	0	0.0444	100.213	4	https://api.spotify.com/v1/tracks/5dWfl2PBpKHpBVdz95wxK1	audio_features	spotify:track:5dWfl2PBpKHpBVdz95wxK1	0.318	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
6	0.0899	https://api.spotify.com/v1/audio-analysis/1Avoy4BzXYVDIqEz0o9zxk	0.639	209750	0.831	1Avoy4BzXYVDIqEz0o9zxk	0.0	7	0.113	-6.253	1	0.176	98.876	4	https://api.spotify.com/v1/tracks/1Avoy4BzXYVDIqEz0o9zxk	audio_features	spotify:track:1Avoy4BzXYVDIqEz0o9zxk	0.473	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
7	0.402	https://api.spotify.com/v1/audio-analysis/5wQRNkb7OhzJoT1P0OZ4Rw	0.66	221333	0.378	5wQRNkb7OhzJoT1P0OZ4Rw	0.0	0	0.0838	-9.728	1	0.27	90.056	4	https://api.spotify.com/v1/tracks/5wQRNkb7OhzJoT1P0OZ4Rw	audio_features	spotify:track:5wQRNkb7OhzJoT1P0OZ4Rw	0.516	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
8	0.6	https://api.spotify.com/v1/audio-analysis/2QgWuCtBpNIpl5trmKCxRf	0.527	515867	0.509	2QgWuCtBpNIpl5trmKCxRf	0.0	7	0.144	-10.893	1	0.0628	138.317	4	https://api.spotify.com/v1/tracks/2QgWuCtBpNIpl5trmKCxRf	audio_features	spotify:track:2QgWuCtBpNIpl5trmKCxRf	0.497	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
9	0.0183	https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH	0.612	202173	0.921	70eDxAyAraNTiD6lx2ZEnH	0.0	7	0.0576	-2.879	1	0.0848	139.986	4	https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH	audio_features	spotify:track:70eDxAyAraNTiD6lx2ZEnH	0.453	4th of July BBQ viiiibez	18juKaFUHN2AhIJuM0Ld3e	12120302035
